transaction_id,customer_id,timestamp,amount,amount_proxy,merchant_category,channel,city,customer_tenure_months,is_fraud
50,10389,2025-01-12 12:35:37,37.36,39.1,travel,web,,65.0,0
51,10379,2025-02-28 21:54:58,9.73,17.14,fashion,web,Delhi,54.0,0
52,10097,2025-01-29 21:32:41,28.33,32.13,grocery,web,,119.0,0
53,10181,2025-01-20 12:24:52,90.08,93.75,restaurant,web,,55.0,0
54,10233,2025-01-18 09:19:47,57.95,62.84,fuel,mobile,Bhopal,91.0,0
55,10248,2025-03-30 08:51:20,47.55,50.86,restaurant,mobile,Ujjain,44.0,0
56,10021,2025-01-10 07:05:32,77.92,81.7,,web,Ujjain,46.0,0
57,10273,2025-03-13 20:48:56,55.42,65.5,electronics,web,Pune,81.0,0
58,10077,2025-03-19 22:52:20,,101.85,grocery,pos,Dewas,48.0,0
59,10371,2025-01-03 19:04:27,73.52,69.62,travel,web,Ujjain,2.0,0
60,10341,2025-02-23 00:57:19,108.76,108.6,travel,mobile,Dewas,21.0,0
61,10461,2025-02-21 23:11:39,51.07,60.6,grocery,mobile,Dewas,104.0,0
62,10372,2025-02-02 06:43:59,72.85,75.07,grocery,web,Indore,44.0,0
63,10183,2025-03-02 00:06:10,33.13,39.52,fuel,pos,Delhi,13.0,0
64,10483,2025-02-06 18:43:33,27.36,36.89,electronics,web,Indore,112.0,0
65,10205,2025-02-09 13:44:01,122.66,127.21,restaurant,mobile,Ujjain,119.0,0
66,10162,2025-02-08 20:04:51,46.55,40.84,grocery,mobile,Delhi,60.0,0
67,10452,2025-03-14 01:27:23,68.25,89.84,fuel,pos,Bhopal,75.0,0
68,10185,2025-02-26 23:36:08,43.83,51.9,grocery,mobile,Ujjain,90.0,0
69,10038,2025-02-04 02:44:29,27.63,27.59,fuel,pos,Indore,8.0,0
70,10234,2025-03-25 09:49:18,40.74,38.16,fuel,mobile,Dewas,36.0,0
71,10397,2025-03-14 04:26:49,102.86,111.12,restaurant,mobile,Delhi,67.0,0
72,10094,2025-03-25 22:48:14,58.03,55.47,travel,mobile,Ujjain,66.0,0
73,10231,2025-03-07 17:52:54,13.3,21.96,fuel,mobile,Bhopal,40.0,0
74,10064,2025-02-05 05:37:21,35.17,33.18,grocery,mobile,Bhopal,,0
75,10343,2025-03-11 13:33:14,128.83,153.04,travel,web,Pune,114.0,0
76,10237,2025-01-30 15:12:24,35.2,36.22,,web,Delhi,74.0,0
77,10165,2025-01-25 09:12:22,12.55,5.71,restaurant,mobile,Ujjain,90.0,0
78,10113,2025-02-10 14:15:37,138.45,151.65,travel,web,,53.0,0
79,10282,2025-03-29 05:41:46,63.03,49.6,restaurant,mobile,Pune,61.0,0
80,10334,2025-02-21 02:44:16,38.65,42.32,travel,web,Bhopal,53.0,0
81,10470,2025-02-04 12:46:37,31.77,34.22,grocery,mobile,Indore,52.0,0
82,10218,2025-02-11 13:31:36,81.74,98.15,electronics,mobile,Ujjain,80.0,0
83,10080,2025-01-27 05:01:37,28.44,16.76,grocery,mobile,Dewas,119.0,0
84,10416,2025-03-01 06:54:26,85.32,104.85,fuel,mobile,Pune,93.0,0
85,10314,2025-02-01 12:55:02,57.54,71.01,restaurant,web,,80.0,0
86,10350,2025-02-19 21:30:06,47.42,63.13,restaurant,web,,2.0,0
87,10048,2025-02-03 06:48:26,,49.37,travel,mobile,Ujjain,62.0,0
88,10156,2025-01-29 20:44:44,36.1,48.54,grocery,pos,Bhopal,114.0,0
89,10383,2025-03-29 07:42:32,79.81,77.62,,mobile,Indore,48.0,0
90,10416,2025-02-01 02:46:42,23.05,31.52,grocery,mobile,Indore,66.0,0
91,10217,2025-01-07 08:19:26,14.09,9.61,travel,mobile,Dewas,39.0,0
92,10402,2025-02-04 01:45:37,60.3,54.32,fashion,mobile,Delhi,23.0,0
93,10420,2025-02-17 21:25:51,60.97,59.29,travel,mobile,Ujjain,84.0,0
94,10193,2025-01-09 12:25:18,55.27,61.95,grocery,mobile,Dewas,38.0,0
95,10449,2025-01-28 12:16:42,52.72,52.45,,web,Dewas,70.0,0
96,10144,2025-01-15 22:41:43,32.84,39.79,restaurant,web,Delhi,71.0,0
97,10119,2025-02-15 01:24:01,67.48,61.11,grocery,mobile,Pune,101.0,0
98,10341,2025-03-07 01:55:32,39.27,26.97,restaurant,mobile,Pune,112.0,0
99,10318,2025-03-29 03:55:02,29.47,43.99,travel,pos,Ujjain,66.0,0
100,10069,2025-02-05 00:26:56,33.03,44.22,electronics,mobile,Pune,6.0,0
101,10416,2025-03-19 16:38:18,150.42,160.08,grocery,web,,70.0,1
102,10099,2025-01-20 07:24:15,13.1,14.65,,pos,Pune,106.0,0
103,10402,2025-03-12 05:52:24,55.97,70.84,travel,web,Indore,57.0,0
104,10003,2025-02-20 15:22:20,,18.56,restaurant,pos,Indore,68.0,0
105,10398,2025-03-10 05:39:15,37.7,43.41,travel,web,Indore,91.0,0
106,10393,2025-03-09 23:57:55,30.51,42.93,grocery,mobile,Indore,53.0,0
107,10390,2025-02-17 22:03:13,10.43,5.84,travel,mobile,Bhopal,50.0,0
108,10332,2025-01-24 04:01:56,52.08,58.58,fuel,web,Dewas,58.0,0
109,10235,2025-02-17 08:33:28,31.59,35.24,,web,,102.0,0
110,10352,2025-03-16 09:51:58,10.33,9.39,restaurant,web,Indore,59.0,0
111,10138,2025-03-29 08:37:24,69.81,75.07,fashion,mobile,,39.0,0
112,10390,2025-03-25 11:24:37,102.8,115.72,restaurant,mobile,Indore,72.0,0
113,10277,2025-01-17 07:58:07,106.55,119.61,fuel,pos,,83.0,0
114,10229,2025-02-23 18:22:19,51.08,48.82,fuel,web,Delhi,109.0,0
115,10252,2025-01-10 09:55:30,41.68,53.1,restaurant,mobile,Dewas,107.0,0
116,10284,2025-03-02 04:55:36,95.9,99.6,electronics,web,Ujjain,94.0,0
117,10018,2025-03-31 07:26:42,120.73,133.47,restaurant,pos,Ujjain,92.0,0
118,10069,2025-01-05 17:33:50,84.51,92.29,fashion,pos,Pune,54.0,0
119,10122,2025-03-01 02:11:48,21.93,27.43,electronics,pos,Dewas,41.0,0
120,10057,2025-03-27 02:19:22,46.1,34.68,fashion,pos,Ujjain,67.0,0
121,10219,2025-03-18 05:55:06,,,restaurant,mobile,Pune,85.0,0
122,10334,2025-02-05 07:46:01,12.48,8.56,travel,mobile,Ujjain,62.0,0
123,10327,2025-01-10 08:28:16,54.88,71.23,fashion,mobile,Ujjain,25.0,0
124,10235,2025-03-25 03:37:29,177.23,194.67,,pos,Delhi,2.0,1
125,10427,2025-03-24 22:03:24,61.31,68.28,,mobile,Dewas,7.0,0
126,10282,2025-02-22 02:35:29,105.4,133.36,electronics,mobile,Indore,51.0,0
127,10039,2025-03-30 02:24:45,,48.8,fuel,pos,Delhi,95.0,0
128,10382,2025-01-01 09:58:35,38.57,53.11,electronics,pos,Ujjain,94.0,0
129,10287,2025-02-25 11:52:44,51.82,58.35,fashion,pos,Delhi,97.0,0
130,10317,2025-01-04 11:15:02,23.8,29.98,electronics,web,Bhopal,85.0,0
131,10282,2025-03-26 05:05:58,21.62,24.77,electronics,web,Delhi,3.0,0
132,10276,2025-03-03 05:42:16,92.12,109.96,,mobile,Pune,106.0,0
133,10045,2025-03-24 05:00:21,98.69,105.05,grocery,mobile,Delhi,113.0,0
134,10279,2025-02-20 15:21:46,21.24,,restaurant,mobile,Pune,102.0,0
135,10397,2025-01-08 11:50:53,75.88,79.88,travel,web,Dewas,54.0,0
136,10151,2025-01-03 09:18:36,38.22,43.6,fashion,pos,Indore,26.0,0
137,10301,2025-01-31 04:50:19,,54.73,restaurant,web,Dewas,108.0,0
138,10015,2025-03-08 21:52:24,54.55,66.78,grocery,mobile,Bhopal,23.0,0
139,10173,2025-01-14 14:13:47,77.19,96.89,grocery,pos,Delhi,94.0,0
140,10218,2025-03-18 16:38:02,,39.99,grocery,mobile,Ujjain,115.0,0
141,10491,2025-01-22 13:17:03,101.15,107.42,fashion,mobile,Delhi,108.0,0
142,10107,2025-02-14 16:15:42,49.46,43.91,restaurant,web,Bhopal,63.0,0
143,10138,2025-01-19 06:39:18,60.69,,travel,web,Delhi,100.0,0
144,10204,2025-02-11 22:02:09,23.53,28.79,grocery,mobile,Bhopal,99.0,0
145,10496,2025-02-10 16:41:45,164.54,188.12,fashion,mobile,Bhopal,116.0,1
146,10426,2025-01-01 11:49:18,54.89,50.76,grocery,web,Ujjain,43.0,0
147,10017,2025-02-21 02:28:22,64.29,72.0,restaurant,pos,Delhi,75.0,0
148,10116,2025-03-12 19:09:48,14.22,,restaurant,mobile,,98.0,0
149,10410,2025-03-26 06:21:22,,24.51,electronics,pos,Ujjain,28.0,0
150,10029,2025-01-30 18:20:48,90.43,109.89,fuel,mobile,Bhopal,27.0,0
151,10427,2025-03-21 06:03:58,48.74,73.08,grocery,pos,Indore,47.0,0
152,10140,2025-03-21 02:07:45,11.66,5.48,travel,web,Pune,43.0,0
153,10458,2025-03-30 22:54:24,79.43,80.78,fashion,web,Bhopal,90.0,0
154,10146,2025-02-03 13:48:39,28.4,,restaurant,pos,Ujjain,112.0,0
155,10217,2025-03-18 13:55:32,101.23,126.23,restaurant,pos,Ujjain,19.0,0
156,10330,2025-02-20 20:34:05,38.2,51.12,fuel,mobile,Ujjain,39.0,0
157,10063,2025-01-06 05:51:53,46.2,50.66,grocery,web,Dewas,111.0,0
158,10278,2025-01-25 07:56:17,87.04,97.78,restaurant,mobile,Bhopal,71.0,0
159,10252,2025-03-02 11:37:51,22.57,,fuel,pos,Ujjain,25.0,0
160,10391,2025-01-15 10:52:14,21.21,30.88,grocery,pos,Pune,72.0,0
161,10498,2025-02-09 03:01:15,35.6,36.83,travel,mobile,Dewas,105.0,0
162,10332,2025-03-11 17:48:03,69.25,75.48,restaurant,web,Bhopal,45.0,0
163,10204,2025-01-14 11:28:50,17.03,23.94,restaurant,mobile,Dewas,58.0,0
164,10203,2025-02-14 16:38:07,13.68,13.82,,mobile,Dewas,74.0,0
165,10208,2025-01-20 08:05:40,69.09,75.5,fashion,mobile,Indore,101.0,0
166,10407,2025-02-18 06:48:50,27.33,30.69,travel,mobile,Delhi,68.0,0
167,10160,2025-01-22 15:56:12,31.34,41.46,electronics,pos,Ujjain,115.0,0
168,10083,2025-03-28 21:17:54,12.1,26.72,grocery,web,Indore,90.0,0
169,10167,2025-01-07 21:40:28,26.01,33.82,restaurant,mobile,Dewas,51.0,0
170,10011,2025-03-28 17:19:57,40.25,51.51,electronics,mobile,,59.0,0
171,10053,2025-03-13 06:26:59,74.05,81.34,fuel,mobile,Delhi,83.0,0
172,10045,2025-03-19 00:11:13,24.5,21.78,grocery,pos,Ujjain,9.0,0
173,10385,2025-03-18 15:15:34,118.78,,restaurant,mobile,Bhopal,27.0,0
174,10361,2025-01-17 21:14:09,25.92,30.4,restaurant,mobile,Dewas,29.0,0
175,10348,2025-03-25 19:09:29,25.95,17.68,electronics,web,Ujjain,96.0,0
176,10230,2025-02-23 11:37:44,109.87,,fashion,mobile,,98.0,0
177,10358,2025-03-28 14:15:35,46.41,51.32,grocery,web,Ujjain,98.0,0
178,10080,2025-03-21 00:47:54,28.25,27.56,grocery,web,Ujjain,13.0,0
179,10450,2025-02-22 03:57:28,36.57,52.81,fuel,mobile,Indore,36.0,0
180,10250,2025-02-03 16:50:31,97.47,113.01,,mobile,Delhi,38.0,0
181,10469,2025-01-11 13:20:24,104.9,128.47,electronics,pos,Indore,3.0,0
182,10076,2025-01-10 02:23:21,23.79,28.75,fuel,mobile,Delhi,31.0,0
183,10248,2025-02-05 01:46:21,39.35,,electronics,pos,Pune,52.0,0
184,10348,2025-03-14 23:40:47,,40.54,fuel,mobile,Indore,106.0,0
185,10247,2025-02-15 11:32:33,21.31,23.96,restaurant,mobile,Indore,21.0,0
186,10223,2025-02-13 08:36:33,39.01,43.8,fashion,pos,Pune,103.0,0
187,10083,2025-01-23 00:01:12,40.59,34.52,travel,mobile,Indore,98.0,0
188,10190,2025-02-20 19:05:17,84.87,90.74,restaurant,pos,Bhopal,19.0,0
189,10119,2025-02-27 10:14:33,88.66,96.71,fuel,mobile,Pune,32.0,0
190,10150,2025-03-30 09:25:54,572.8038967400539,641.5403643488604,electronics,web,Indore,55.0,0
191,10341,2025-03-07 15:32:25,574.6246888478508,643.579651509593,electronics,mobile,Dewas,113.0,0
192,10315,2025-02-24 15:34:36,62.29,65.11,fashion,web,Bhopal,94.0,0
193,10303,2025-03-23 21:45:57,,34.72,,web,Bhopal,116.0,0
194,10180,2025-02-08 05:57:19,59.3,64.96,restaurant,web,Pune,38.0,0
195,10479,2025-03-26 03:29:22,38.2,19.83,grocery,web,Dewas,109.0,0
196,10043,2025-02-03 07:09:58,21.54,20.25,restaurant,mobile,Ujjain,114.0,0
197,10171,2025-01-12 12:00:11,21.72,32.96,grocery,pos,Pune,72.0,0
198,10059,2025-02-07 14:03:27,103.61,102.59,,mobile,,,0
199,10169,2025-01-12 14:08:07,36.54,,restaurant,pos,Indore,32.0,0
200,10480,2025-01-11 15:44:31,117.48,144.26,grocery,mobile,Bhopal,16.0,0
201,10183,2025-03-21 07:24:37,28.97,26.36,restaurant,web,Ujjain,97.0,0
202,10454,2025-03-13 12:39:40,48.88,54.76,restaurant,web,Dewas,38.0,0
203,10247,2025-01-20 21:49:02,191.57,204.13,electronics,pos,Pune,84.0,0
204,10349,2025-03-17 09:28:06,20.34,35.8,electronics,mobile,Indore,32.0,0
205,10228,2025-01-07 04:49:43,11.78,12.53,restaurant,pos,Delhi,117.0,0
206,10132,2025-01-26 14:17:52,93.34,104.91,restaurant,mobile,Pune,93.0,0
207,10382,2025-03-05 13:10:47,23.63,37.3,electronics,mobile,Pune,45.0,0
208,10484,2025-01-28 08:12:02,39.91,49.99,fashion,pos,Dewas,57.0,0
209,10131,2025-03-07 17:53:15,,23.95,electronics,pos,Ujjain,7.0,0
210,10389,2025-03-20 16:33:43,48.15,48.75,grocery,web,Indore,17.0,0
211,10130,2025-01-06 22:41:35,21.81,,restaurant,pos,Pune,119.0,0
212,10358,2025-01-03 03:46:33,35.98,35.3,grocery,mobile,Bhopal,98.0,0
213,10394,2025-03-26 14:24:15,54.18,43.74,electronics,pos,Bhopal,100.0,0
214,10224,2025-02-16 20:11:17,21.0,23.09,fuel,mobile,Delhi,77.0,0
215,10368,2025-02-15 13:59:04,25.66,16.9,electronics,mobile,Delhi,27.0,0
216,10136,2025-02-11 17:32:22,32.27,,grocery,mobile,Delhi,13.0,0
217,10039,2025-02-09 00:36:11,15.98,19.31,restaurant,pos,Pune,87.0,0
218,10048,2025-03-04 02:40:25,30.73,27.18,fuel,web,Pune,40.0,0
219,10223,2025-02-22 04:15:01,43.69,43.34,restaurant,mobile,Ujjain,1.0,0
220,10451,2025-01-15 16:55:33,31.2,19.83,fuel,mobile,Ujjain,3.0,0
221,10063,2025-02-26 09:32:21,33.91,29.18,fuel,mobile,Ujjain,67.0,0
222,10227,2025-03-02 03:35:39,39.93,52.85,electronics,mobile,Dewas,100.0,0
223,10352,2025-01-11 05:22:40,26.41,47.43,restaurant,mobile,Dewas,44.0,0
224,10101,2025-02-03 21:44:43,63.38,76.8,grocery,mobile,Pune,119.0,0
225,10360,2025-03-13 03:29:46,102.86,114.47,grocery,mobile,Pune,46.0,0
226,10152,2025-02-25 16:25:26,29.91,30.04,,mobile,Delhi,88.0,0
227,10404,2025-01-13 06:33:31,55.44,54.44,restaurant,mobile,Indore,30.0,0
228,10289,2025-01-04 14:36:18,34.61,,restaurant,pos,Delhi,73.0,0
229,10273,2025-02-22 07:24:57,51.29,55.93,grocery,mobile,Pune,33.0,0
230,10088,2025-02-11 13:19:50,111.92,142.28,grocery,web,Pune,93.0,0
231,10231,2025-03-28 11:52:16,56.3,,fuel,mobile,Bhopal,,0
232,10428,2025-02-17 00:03:42,12.77,0.38,,web,Delhi,5.0,0
233,10009,2025-03-25 20:00:56,54.33,55.52,travel,web,Bhopal,30.0,0
234,10379,2025-01-20 06:56:42,90.14,95.6,grocery,pos,Indore,42.0,0
235,10246,2025-02-10 06:14:57,35.02,38.58,grocery,mobile,Bhopal,56.0,0
236,10359,2025-01-13 13:35:13,77.26,86.05,,mobile,Ujjain,33.0,0
237,10331,2025-02-21 16:20:05,25.83,52.9,restaurant,pos,Pune,69.0,0
238,10216,2025-01-17 23:06:16,15.4,8.63,grocery,web,Ujjain,115.0,0
239,10154,2025-02-14 07:17:17,44.33,51.48,grocery,web,Indore,85.0,0
240,10313,2025-01-31 23:20:41,12.91,19.39,,web,Dewas,,0
241,10070,2025-01-17 17:10:34,34.61,38.75,grocery,web,Dewas,81.0,0
242,10292,2025-01-09 17:06:35,93.36,105.44,fuel,mobile,Dewas,116.0,0
243,10047,2025-02-16 02:01:56,11.69,,,pos,Indore,29.0,0
244,10324,2025-03-27 06:12:38,17.61,20.58,restaurant,mobile,Bhopal,28.0,0
245,10314,2025-01-18 21:17:46,20.68,,restaurant,web,Pune,5.0,0
246,10042,2025-02-06 10:47:13,38.82,46.1,fashion,mobile,Indore,101.0,0
247,10378,2025-01-21 05:09:01,31.89,40.28,fashion,web,Delhi,100.0,0
248,10207,2025-03-14 19:22:27,100.43,123.78,electronics,mobile,Indore,50.0,0
249,10393,2025-02-07 08:11:21,75.21,91.73,,mobile,,104.0,0
250,10020,2025-03-29 16:44:27,55.81,63.08,electronics,web,Pune,78.0,0
251,10089,2025-01-23 01:33:42,44.46,40.42,restaurant,pos,Ujjain,117.0,0
252,10246,2025-01-08 06:23:17,52.23,53.7,,pos,Dewas,110.0,0
253,10094,2025-02-22 10:14:36,23.1,24.11,electronics,mobile,Bhopal,115.0,0
254,10164,2025-02-28 15:36:21,70.61,81.1,electronics,mobile,Dewas,47.0,0
255,10330,2025-03-31 04:00:04,19.63,18.16,grocery,mobile,Bhopal,76.0,0
256,10072,2025-03-20 10:14:37,69.62,70.49,,web,Bhopal,20.0,0
257,10338,2025-03-21 13:48:25,87.44,88.43,restaurant,web,Delhi,107.0,0
258,10051,2025-02-27 01:56:46,46.39,38.75,fuel,mobile,Dewas,38.0,0
259,10087,2025-02-02 09:12:00,36.07,38.52,,pos,Dewas,54.0,0
260,10293,2025-02-08 14:41:47,52.47,47.01,grocery,mobile,Delhi,71.0,0
261,10396,2025-01-13 00:53:19,6.3,,grocery,mobile,Bhopal,94.0,0
262,10085,2025-02-08 19:07:29,49.23,51.99,travel,mobile,Delhi,88.0,0
263,10149,2025-02-02 19:11:14,37.57,31.39,restaurant,mobile,Delhi,114.0,0
264,10462,2025-01-04 05:32:29,39.14,46.87,fuel,web,Pune,85.0,0
265,10494,2025-01-19 09:39:01,64.02,77.62,grocery,mobile,Bhopal,95.0,0
266,10290,2025-02-18 02:44:15,38.53,38.76,fashion,pos,Dewas,69.0,0
267,10223,2025-02-03 05:46:51,19.28,,electronics,pos,Indore,50.0,0
268,10173,2025-03-31 10:03:10,36.9,45.63,electronics,pos,Indore,109.0,0
269,10306,2025-02-13 01:37:11,42.26,,restaurant,web,Indore,45.0,0
270,10295,2025-03-28 06:48:29,43.58,42.55,fashion,mobile,Dewas,74.0,0
271,10147,2025-03-01 11:08:10,44.94,59.9,restaurant,mobile,Ujjain,35.0,0
272,10011,2025-01-04 15:15:44,79.49,96.1,fashion,web,Ujjain,58.0,0
273,10075,2025-01-19 07:26:29,19.97,27.18,grocery,web,Dewas,44.0,0
274,10479,2025-03-05 12:31:17,45.34,58.19,restaurant,pos,Bhopal,31.0,0
275,10209,2025-02-19 01:27:14,93.55,88.96,restaurant,mobile,Indore,98.0,0
276,10241,2025-01-28 03:48:43,13.1,25.5,fuel,mobile,Dewas,92.0,0
277,10233,2025-02-16 23:42:10,45.46,54.05,electronics,web,Dewas,84.0,0
278,10391,2025-03-23 06:27:23,27.65,39.05,fashion,mobile,Indore,10.0,0
279,10032,2025-02-04 23:36:33,31.79,38.7,grocery,web,Ujjain,30.0,0
280,10041,2025-01-05 01:26:52,22.46,25.55,travel,web,Ujjain,26.0,0
281,10137,2025-01-28 23:40:19,36.23,38.38,fashion,mobile,Delhi,85.0,0
282,10243,2025-03-26 05:29:17,133.86,152.86,fashion,mobile,Ujjain,107.0,0
283,10335,2025-03-10 13:26:20,17.78,17.42,fashion,pos,Indore,46.0,0
284,10245,2025-03-17 08:56:51,18.91,28.12,,mobile,Ujjain,40.0,0
285,10220,2025-03-24 01:04:13,17.35,6.74,grocery,web,Bhopal,67.0,0
286,10468,2025-01-11 13:48:34,124.32,134.91,fashion,web,Delhi,118.0,0
287,10080,2025-01-26 10:34:22,29.95,49.9,travel,mobile,,45.0,0
288,10285,2025-01-06 09:13:14,39.78,39.54,restaurant,web,Pune,34.0,0
289,10271,2025-01-01 10:13:44,31.13,32.96,travel,web,Ujjain,63.0,0
290,10236,2025-03-17 02:58:06,21.89,17.46,restaurant,mobile,Bhopal,109.0,0
291,10403,2025-03-26 07:48:21,34.71,41.56,fuel,web,Indore,87.0,0
292,10133,2025-01-15 00:26:11,199.91,218.01,restaurant,mobile,Ujjain,62.0,1
293,10476,2025-03-06 23:53:06,,110.48,grocery,mobile,Bhopal,88.0,0
294,10165,2025-02-18 03:22:48,23.23,32.81,grocery,web,Dewas,,0
295,10272,2025-01-07 05:31:37,61.62,63.42,travel,pos,,90.0,0
296,10260,2025-03-24 10:00:32,23.56,32.7,grocery,mobile,Dewas,12.0,0
297,10424,2025-03-20 09:52:31,12.75,20.86,restaurant,mobile,Indore,,0
298,10219,2025-02-21 01:41:16,78.47,96.33,electronics,web,Bhopal,42.0,0
299,10142,2025-03-05 17:02:20,85.98,97.42,fuel,mobile,Delhi,83.0,0
300,10010,2025-02-05 18:01:26,79.83,115.34,grocery,web,Dewas,29.0,0
301,10181,2025-03-13 08:31:56,29.8,41.81,grocery,mobile,Dewas,29.0,0
302,10413,2025-02-10 01:14:04,36.29,43.24,restaurant,web,Dewas,106.0,0
303,10004,2025-03-31 00:37:09,65.85,66.74,electronics,pos,Dewas,57.0,0
304,10448,2025-01-06 16:19:59,52.17,57.65,,web,Pune,89.0,0
305,10271,2025-01-16 11:50:34,31.32,46.49,grocery,pos,Dewas,70.0,0
306,10070,2025-03-29 04:30:18,14.12,29.49,grocery,pos,Dewas,74.0,0
307,10151,2025-01-26 23:46:06,43.55,60.6,restaurant,mobile,Bhopal,82.0,0
308,10277,2025-01-28 23:00:46,81.56,97.63,grocery,mobile,,80.0,0
309,10157,2025-03-13 05:09:18,18.57,10.75,electronics,mobile,Delhi,109.0,0
310,10054,2025-01-18 01:01:30,61.26,72.51,restaurant,pos,Pune,94.0,0
311,10332,2025-02-16 05:14:35,50.17,46.26,fuel,mobile,Delhi,37.0,0
312,10336,2025-01-26 17:51:43,65.86,61.86,restaurant,mobile,Dewas,21.0,0
313,10059,2025-01-18 19:32:31,71.29,81.76,electronics,web,Delhi,101.0,0
314,10140,2025-03-28 19:02:45,,,fashion,pos,Indore,45.0,0
315,10121,2025-01-18 23:46:39,14.14,23.06,travel,web,Ujjain,38.0,0
316,10329,2025-01-09 11:39:28,28.59,36.0,electronics,web,Ujjain,14.0,0
317,10365,2025-03-02 15:42:19,72.09,84.99,fashion,web,Dewas,66.0,0
318,10363,2025-03-20 01:22:28,28.44,23.98,restaurant,mobile,Delhi,61.0,0
319,10469,2025-01-12 11:23:27,25.76,28.01,,pos,Indore,99.0,0
320,10384,2025-03-05 16:56:34,12.38,1.81,fashion,pos,Ujjain,90.0,0
